обернулся;26;0.028373439%
лошадей;26;0.028373439%
много;26;0.028373439%
те;26;0.028373439%
там;26;0.028373439%
быстро;26;0.028373439%
улыбнулся;25;0.027282152%
нем;25;0.027282152%
поднял;25;0.027282152%
маг;25;0.027282152%
остальных;25;0.027282152%
подумала;25;0.027282152%
кроме;25;0.027282152%
самого;25;0.027282152%
имя;25;0.027282152%
ночью;25;0.027282152%
отвернулся;25;0.027282152%
стоит;25;0.027282152%
столь;25;0.027282152%
хоть;25;0.027282152%
однако;25;0.027282152%
После;25;0.027282152%
Санлар;25;0.027282152%
лесу;25;0.027282152%
мимо;25;0.027282152%
Шторм;25;0.027282152%
тотчас;25;0.027282152%
самое;25;0.027282152%
закричала;24;0.026190866%
этих;24;0.026190866%
убить;24;0.026190866%
зентильцев;24;0.026190866%
смерть;24;0.026190866%
мои;24;0.026190866%
прочь;24;0.026190866%
знаю;24;0.026190866%
упал;24;0.026190866%
давно;24;0.026190866%
путешественников;24;0.026190866%
тела;24;0.026190866%
всю;24;0.026190866%
пришлось;24;0.026190866%
Хотя;24;0.026190866%
могут;24;0.026190866%
бога;24;0.026190866%
прямо;24;0.026190866%
некоторое;24;0.026190866%
мысли;24;0.026190866%
нескольких;24;0.026190866%
которым;24;0.026190866%
Квиксал;24;0.026190866%
небо;24;0.026190866%
будут;23;0.02509958%
пор;23;0.02509958%
одно;23;0.02509958%
двери;23;0.02509958%
взглядом;23;0.02509958%
покачал;23;0.02509958%
свет;23;0.02509958%
почувствовала;23;0.02509958%
цвета;23;0.02509958%
увидела;23;0.02509958%
доспехи;23;0.02509958%
нашел;23;0.02509958%
раздался;23;0.02509958%
Раздора;23;0.02509958%
кинжал;23;0.02509958%
земли;23;0.02509958%
либо;23;0.02509958%
Королевствах;23;0.02509958%
каждый;23;0.02509958%
Келемвором;23;0.02509958%
конечно;23;0.02509958%
против;23;0.02509958%
друг;23;0.02509958%
стало;23;0.02509958%
попыталась;23;0.02509958%
мага;23;0.02509958%
девочку;22;0.024008295%
стене;22;0.024008295%
которого;22;0.024008295%
остальные;22;0.024008295%
сильно;22;0.024008295%
бросил;22;0.024008295%
сила;22;0.024008295%
богини;22;0.024008295%
принять;22;0.024008295%
исчезла;22;0.024008295%
бог;22;0.024008295%
ударил;22;0.024008295%
могло;22;0.024008295%
тобой;22;0.024008295%
внутри;22;0.024008295%
этому;22;0.024008295%
отряда;22;0.024008295%
засмеялся;22;0.024008295%
земле;22;0.024008295%
поняла;22;0.024008295%
Магии;22;0.024008295%
оказался;22;0.024008295%
видеть;22;0.024008295%
пол;21;0.022917008%
огни;21;0.022917008%
героев;21;0.022917008%
лежал;21;0.022917008%
своему;21;0.022917008%
улице;21;0.022917008%
остановился;21;0.022917008%
две;21;0.022917008%
битвы;21;0.022917008%
можем;21;0.022917008%
появился;21;0.022917008%
боли;21;0.022917008%
решил;21;0.022917008%
лучников;21;0.022917008%
некоторые;21;0.022917008%
думал;21;0.022917008%
Сайриком;21;0.022917008%
смогли;21;0.022917008%
вместо;21;0.022917008%
Во;21;0.022917008%
одну;20;0.021825721%
глазами;20;0.021825721%
груди;20;0.021825721%
стояла;20;0.021825721%
силой;20;0.021825721%
покинул;20;0.021825721%
Вор;20;0.021825721%
лучше;20;0.021825721%
впереди;20;0.021825721%
сердце;20;0.021825721%
Арабель;20;0.021825721%
всем;20;0.021825721%
каким;20;0.021825721%
ночи;20;0.021825721%
спиной;20;0.021825721%
Разве;20;0.021825721%
леса;20;0.021825721%
рука;20;0.021825721%
руке;20;0.021825721%
моста;20;0.021825721%
самом;20;0.021825721%
Черного;19;0.020734435%
аватара;19;0.020734435%
девочки;19;0.020734435%
оно;19;0.020734435%
слышал;19;0.020734435%
вскрикнул;19;0.020734435%
Королевства;19;0.020734435%
плечо;19;0.020734435%
пришел;19;0.020734435%
ногами;19;0.020734435%
Форестер;19;0.020734435%
спросила;19;0.020734435%
всей;19;0.020734435%
находится;19;0.020734435%
хочешь;19;0.020734435%
земля;19;0.020734435%
поднялся;19;0.020734435%
последние;19;0.020734435%
встал;19;0.020734435%
храме;19;0.020734435%
Так;19;0.020734435%
весь;19;0.020734435%
довольно;19;0.020734435%
Кнайтбриджа;18;0.01964315%
вышел;18;0.01964315%
создание;18;0.01964315%
будешь;18;0.01964315%
ног;18;0.01964315%
нахмурился;18;0.01964315%
лет;18;0.01964315%
вздрогнул;18;0.01964315%
остались;18;0.01964315%
форму;18;0.01964315%
уверен;18;0.01964315%
дорогу;18;0.01964315%
армии;18;0.01964315%
кого;18;0.01964315%
крайней;18;0.01964315%
Почему;18;0.01964315%
исчезли;18;0.01964315%
помощью;18;0.01964315%
идти;18;0.01964315%
пройти;18;0.01964315%
превратились;18;0.01964315%
множество;18;0.01964315%
человеком;18;0.01964315%
знать;18;0.01964315%
сказать;18;0.01964315%
вора;18;0.01964315%
стороне;18;0.01964315%
Здесь;18;0.01964315%
взял;18;0.01964315%
таверны;18;0.01964315%
руках;18;0.01964315%
Ну;18;0.01964315%
Блэкторна;18;0.01964315%
приказ;17;0.018551864%
Каждый;17;0.018551864%
улыбнулась;17;0.018551864%
крики;17;0.018551864%
другие;17;0.018551864%
мудрец;17;0.018551864%
улыбка;17;0.018551864%
двигаться;17;0.018551864%
вернуться;17;0.018551864%
мой;17;0.018551864%
резко;17;0.018551864%
